Invoice Number,Date,Time,Internal Item ID Number,Unique ID,Item Name,Packaging Type,Price Per Toy,Units Sold,Total Line Revenue,COGS,Payment,Cashier ID,Profit,Member?,Coupon?,Purchaser Age,Parking Validation?,Segment
,07-01-10,10:25:37 AM,D255/FE,18221,Pinot Noir,Large Crate,103.49,1,103.49,5.17,Cash,V.W.|880-4523,98.32,No,No,39,No,Red Wine
654650,06-02-10,2:33:36 PM,L195/AE,21074,Cabernet Sauvignon,Large Crate,28.46,2,56.92,6.18,Mastercard,D.S.|880-7532,50.74,No,No,34,No,Red Wine
654754,27-03-10,12:08:24 PM,D255/FE,22889,Cabernet Sauvignon,Full Container,5.2,1,5.2,5.17,Mastercard,P.N.|880-3021,0.03,No,No,33,No,Red Wine
654526,07-01-10,12:00:00 PM,L217/SN,18314,Merlot,Loose Wrap,186.76,5,933.8,81.1,Visa,B.X.|880-9149,852.7,No,No,29,No,Red Wine
654568,07-01-10,2:19:12 PM,L195/AE,18334,Malbec,Large Crate,57.1,1,57.1,3.09,Cash,Z.Q.|880-4240,54.01,No,Yes,46,Yes,Red Wine
654613,05-02-10,2:51:36 PM,D250/AT,19365,Malbec,Large Crate,13.62,1,13.62,5.17,Cash,D.Z.|880-1179,8.45,No,No,33,No,Red Wine
654650,06-02-10,2:33:36 PM,D250/AT,20553,Malbec,Large Crate,17.14,1,17.14,5.17,Mastercard,D.S.|880-7532,11.97,No,No,34,No,Red Wine
654668,11-02-10,1:42:47 PM,L195/AE,21087,Malbec,Large Crate,114.76,1,114.76,3.09,Check,D.W.|880-7199,111.67,No,No,47,Yes,Red Wine
654673,20-02-10,3:27:18 PM,L256/PE,22033,Malbec,Full Container,57.72,4,230.88,17.92,Cash,W.B.|880-9647,212.96,No,No,32,No,Red Wine
654576,25-01-10,12:57:00 PM,L256/PE,19255,Shiraz,Large Crate,217.23,1,217.23,4.48,Discover,D.U.|880-2953,212.75,No,No,36,No,Red Wine
654693,11-03-10,3:45:36 PM,D254/FE,22213,Sangiovese,Large Crate,29.95,1,29.95,5.17,Cash,B.Y.|880-6845,24.78,No,No,36,No,Red Wine
654827,09-04-10,3:58:34 PM,D254/FE,23438,Sangiovese,Full Container,13.34,2,26.68,10.34,Mastercard,A.U.|880-2167,16.34,No,No,35,Yes,Red Wine
654624,05-02-10,2:36:00 PM,D250/AT,20551,Zinfandel,Full Container,26.31,5,131.55,25.85,Cash,L.W.|880-4986,105.7,No,No,47,No,Red Wine
654693,11-03-10,3:45:36 PM,L195/AE,22248,Zinfandel,Large Crate,190.8,1,190.8,3.09,Cash,B.Y.|880-6845,187.71,No,No,36,No,Red Wine
